,term,abbr_by_first_letters
19902,синдром астеноипохондрический,СА
19904,неудержание мочи,НМ
19905,Interosseus (antebrachii) anterior,I(A
19908,нервность конституциональная,НК
19909,скребень-великан,СВ
19910,Хауэлла метод,ХМ
19911,Поттера метод,ПМ
19912,литиаз тубуломедуллярный,ЛТ
19917,Момбурга наложение жгута,МНЖ
19919,ведение больного,ВБ
19921,Киршнера костная пластика,ККП
19922,Парри болезнь,ПБ
19923,синцитиальный слой трофобласта,ССТ
19924,контагионистское учение,КУ
19929,фенестрация мозжечкового намета,ФМН
19930,Giardia lamblia,GL
19932,трепанация склеры,ТС
19936,"закон возраста, массивности и латентности",ЗВМИЛ
19937,стопа варусная,СВ
19938,Диллона рацион,ДР
19941,горизонтальная пластинка,ГП
19943,status arthriticus,SA
19944,Генча проба,ГП
19946,Лукомского теория,ЛТ
19952,арефлексия конституциональная,АК
19954,"Aponeurosis lumbodorsalis,",AL
19957,противовращение глаз,ПГ
19959,фолликулит сикозиформный атрофический Гоффманна,ФСАГ
19961,Голубчина метод,ГМ
19962,коэффициент общей плодовитости,КОП
19970,Рудакова метод,РМ
19971,Тутона клетки,ТК
19972,Годелье симптом,ГС
19973,дерматит лихеноидный экзематозный пигментный,ДЛЭП
19975,ладонный узелок,ЛУ
19976,Герке симптом,ГС
19977,пучок излучения рабочий,ПИР
19980,Spirillum minor,SM
19981,Груцы дистрактор,ГД
19982,Арагана тельца,АТ
19983,Мастера проба,МП
19984,Сперанского учение,СУ
19985,черви плоские,ЧП
19988,полость матки,ПМ
19991,стадия развития,СР
19993,легкое добавочное,ЛД
19994,Foraminis ovalis plexus venosus,FOPV
19996,бутон Бискры,ББ
19997,порочный круг,ПК
19998,Вельтманна реакция,ВР
20000,Макара операция,МО
20006,"Frontalis ramus,",FR
20007,Дежана синдром,ДС
20008,миксома злокачественная,МЗ
20009,лимфома центральноафриканская,ЛЦ
20011,слезно-носовая проба,СНП
20012,демпинг-синдром,ДС
20015,Петрова способ,ПС
20016,идеаторно-аффективная диссоциация,ИАД
20017,отверстие легочного ствола,ОЛС
20020,лобковый бугорок,ЛБ
20021,Варбурга аппарат,ВА
20024,Вюрпа губной симптом,ВГС
20026,маляция трахеобронхопатическая,МТ
20029,обонятельный тракт,ОТ
20030,подвздошно-слепокишечный карман верхний,ПСКВ
20032,Полланда синдром,ПС
20036,саркоид диссеминированный узловатый,СДУ
20037,артериальная дуга века нижняя,АДВН
20038,лихорадка весенне-летняя омская,ЛВЛО
20039,Мак-Марри операция,ММО
20045,оптическая активность,ОА
20046,селен радиоактивный,СР
20050,Барбагалло жидкость,БЖ
20052,Rectus lateralis,RL
20058,Коби дистрофия роговицы,КДР
20059,оптическая ось хрусталика,ООХ
20063,B. ischiadica m. glutei maximi,BIMGM
20064,рефлюкс пиелолимфатический,РП
20065,Ультцманна катетер,УК
20067,фаза м-концентрации,ФМК
20068,спридинг-фактор,СФ
20069,"Biventer ossis hyoidei,",BOH
20072,венозная дуга ладонная поверхностная,ВДЛП
20074,Кардоса смесь,КС
20077,Нелатона сфинктер,НС
20078,Nodi lymphatici lumbales,NLL
20079,радиационные пояса земли,РПЗ
20080,реакция задержки,РЗ
20081,Haemorrhoidalis media,HM
20082,Левандовского холодовой паралич,ЛХП
20086,Profundae linguae,PL
20087,Круглова anus praeternaturalis,КAP
20088,Богданова стержень,БС
20089,Уайлдера печеночно-водная проба,УПВП
20092,тройная реакция,ТР
20094,речевое новообразование,РН
20095,ритм узловой,РУ
20096,шум треснувшего горшка,ШТГ
20097,перелом маршевый,ПМ
20098,Arteriae ovaricae,AO
20100,синдром депрессивный,СД
20101,угол зрения,УЗ
20104,предел годового поступления,ПГП
20106,Aedes aegypti,AA
20107,Странского ноопсихе,СН
20108,космические сутки,КС
20110,"Dilatator tubae Eustachii,",DTE
20112,"Tarsometatarsea interossea (BNA),",TI(
20113,потница глубокая Шелли,ПГШ
20114,запирательный бугорок задний,ЗБЗ
20115,внебольничная помощь,ВП
20117,Cerebelli inferiores,CI
20118,медицинский отряд отдельный,МОО
20120,"Iliacus internus,",II
20122,Здродовского - Санарелли феномен,ЗСФ
20124,стеноз аорты надклапанный,САН
20126,грязи лечебные,ГЛ
20127,белки (белок),Б(
20129,Бланта болезнь,ББ
20130,окологлоточное пространство,ОП
20131,клочок добавочный,КД
20132,санитарный отряд летучий,СОЛ
20133,ворота надпочечника,ВН
20134,поясничный прокол,ПП
20135,полоса обтирания,ПО
20136,Монтгомери железы,МЖ
20137,желтуха гепатоцеллюлярная,ЖГ
20138,низшая нервная деятельность,ННД
20139,Русакова несовершенный хондрогенез,РНХ
20140,Бехтерева гемитония,БГ
20142,Вальденстрема макроглобулинемическая пурпура,ВМП
20144,миоклонус-эпилепсия,МЭ
20145,Бауэра рефлекс,БР
20146,тиоктовая кислота,ТК
20148,Мюллера волокна,МВ
20150,Денди операция,ДО
20152,изотопное разведение,ИР
20155,синдром медиального кожного нерва предплечья,СМКНП
20159,лишай красный остроконечный нейротический,ЛКОН
20163,застой желчи,ЗЖ
20164,холинолитические средства,ХС
20169,резцовый канал,РК
20170,Гольдманна инъекция,ГИ
20174,кератопластические средства,КС
20177,Брока врожденная ихтиозиформная эритродермия,БВИЭ
20178,зрительное сияние,ЗС
20179,Рейно-Лериша синдром,РЛС
20180,Жоссро симптом,ЖС
20181,Моро каша,МК
20183,Пратта симптом,ПС
20185,Дольотти пункция,ДП
20186,невротическое развитие,НР
20189,ulerythema ophryogenes,UO
20190,Бордес-Воллса фенестрация лабиринта,БВФЛ
20191,Раппапорта-Эйхгорна метод,РЭМ
20192,фиброксантома злокачественная,ФЗ
20193,рефракция глаза,РГ
20196,синдром раздражения,СР
20201,Веккера игла,ВИ
20203,Панаса операция,ПО
20204,психоз аффективный биполярный,ПАБ
20206,Гритти операция,ГО
20207,фагоцит альвеолярный,ФА
20211,стоматологическое кресло,СК
20212,Короткоручко реакция,КР
20213,бета-клетка,БК
20214,Нечипоренко метод,НМ
20216,"183. Coracoclaviculare internum,",1CI
20217,Коффи гастропексия,КГ
20218,Лосицкой шов,ЛШ
20220,Ридера прокол,РП
20221,половой бугорок,ПБ
20222,Кинбека болезнь,КБ
20230,Самуэля теория воспаления,СТВ
20231,гартнеров ход,ГХ
20232,теменная область,ТО
20236,расстройство идентичности «я»,РИ«
20237,Генле резекция,ГР
20243,высокое стояние диафрагмы стойкое одностороннее,ВСДСО
20244,Стокса синдром,СС
20246,военно-санитарный противоэпидемический отряд,ВСПО
20248,Катценштейна симптом,КС
20252,Мансона шистосомоз,МШ
20253,маршрутный лист,МЛ
20254,"санитарно-токсикологический паспорт - документ,",СТПД
20255,Абурела операция,АО
20256,суммация возбуждения,СВ
20259,"Capsulares (renis),",C(
20262,"Colli costae posterius,",CCP
20263,лимфогранулематоз паховый,ЛП
20264,спектр действия,СД
20265,Бергха эпиляционный пинцет,БЭП
20267,"Thyreoideum laterale,",TL
20268,Vagg. tendinum digitales pedis,VTDP
20271,гранулема лица с эозинофилией,ГЛСЭ
20275,Foraminis ovalis rete,FOR
20276,дефицит возбуждения,ДВ
20278,частота индуцированных мутации,ЧИМ
20279,Вельпо симптом,ВС
20282,Капоши сосочковый дерматит головы,КСДГ
20286,Буке метод,БМ
20292,Симона треугольник,СТ
20293,военно-медицинская игра,ВМИ
20294,Филатова стебель,ФС
20295,мочевой пузырь,МП
20297,паспорт военно-медицинского учреждения,ПВМУ
20298,химиопрофилактика малярии радикальная,ХМР
20302,прямокишечно-маточное углубление,ПМУ
20304,Шульмана метод,ШМ
20305,"Ulnocarpeum volare,",UV
20307,Sacrococcygeum ventrale,SV
20311,Де Кервена щипцы,ДКЩ
20312,камера условных рефлексов,КУР
20317,Вайнштейна метод,ВМ
20319,подмышечная линия задняя,ПЛЗ
20320,Бонне контрактура,БК
20321,катар атропиновый,КА
20327,волосяной сосочек,ВС
20328,рентгеновские перчатки,РП
20330,анальная область,АО
20331,коллаптоидное состояние,КС
20336,атрофия оливоруброцеребеллярная Лежонна,АОЛ
20337,вертел малый,ВМ
20339,Боццони нож,БН
20343,Extensor indicis,EI
20344,Геринга проба,ГП
20346,затылочный бугор наружный,ЗБН
20347,промывные воды,ПВ
20348,совет медицинских сестер,СМС
20349,гипертермия искусственная,ГИ
20350,Мыша симптом,МС
20351,местноанестезирующие средства,МС
20352,серповидный отросток малый,СОМ
20354,синдром климактерический,СК
20355,Герена тенотом,ГТ
20356,нервный валик,НВ
20359,Гарленда треугольник,ГТ
20361,Кобрака симптом,КС
20363,Борхардта костный шов,БКШ
20368,Lymphoglaadulae pectorales,LP
20370,Пясецкого метод,ПМ
20374,"Calcaneonaviculare interosseum,",CI
20375,Куимова рефлекс,КР
20377,Берце гипотония сознания,БГС
20379,инвазия уретровенозная,ИУ
20380,F. superficialis (cervicis),FS(
20383,гематурия египетская,ГЕ
20384,желчные проточки,ЖП
20390,желудочные ветви задние,ЖВЗ
20392,Entamoeba gingivalis,EG
20393,"Epicranius auricularis superior,",EAS
20395,"Occipitoaxiale posterius,",OP
20396,жилищно-санитарный надзор,ЖСН
20397,"Durae matris,",DM
20398,молоко буддизированное,МБ
20399,Flexor digitorum superficialis manus,FDSM
20401,Nasalis externus,NE
20405,барабанная перепонка вторичная,БПВ
20407,ген-модификатор,ГМ
20409,гипсовый сапожок,ГС
20411,мезонефральный проток,МП
20413,Ван-Кревельда синдром,ВКС
20414,Таона синдром,ТС
20415,зуб штифтовой,ЗШ
20416,Базена болезнь,ББ
20417,синдром панкреатико-билиарный,СПБ
20418,Ванцетти симптом,ВС
20420,Iliopectineus arcus,IA
20422,ангиоматоз цереброретинальный,АЦ
20424,заболеваний единая,ЗЕ
20426,Брауна анестезия,БА
20429,Эрлиха квасцовый гематоксилин,ЭКГ
20431,окклюзионный эффект,ОЭ
20433,Брука симптом,БС
20434,перевязочный стол,ПС
20435,Джексона аутоаллопластика,ДА
20437,dystrophia brevicollis congenita,DBC
20438,спондилоартрит ревматоидный,СР
20440,киста яичника папиллярная псевдомуцинозная,КЯПП
20441,травма психическая,ТП
20442,остит деформирующий,ОД
20443,нейролептические средства,НС
20445,Пикворта метод,ПМ
20447,линейная плотность ионизации,ЛПИ
20448,Фарабефа ампутация,ФА
20450,эпителиома интраэпидермальная Борста,ЭИБ
20451,замыкательная пластинка эпифиза,ЗПЭ
20452,ножка свода,НС
20456,сердце астеника,СА
20461,остеобластома хондроматозная,ОХ
20462,31. Anulare baseos stapedis,3ABS
20468,Кюнео сухожильный шов,КСШ
20471,Треноне синдром,ТС
20475,миотония дистрофическая,МД
20476,Терри синдром,ТС
20477,"Nasalis posterior communis,",NPC
20480,хорея обыкновенная,ХО
20481,Emissaria occipitalis,EO
20484,верхнеглазничная щель,ВЩ
20485,Мюллера доступ,МД
20489,клетчатка околоматочная,КО
20490,Labialis maxillaris,LM
20491,статистическая карта,СК
20492,Cerebri magna,CM
20493,память иммунологическая,ПИ
20495,межсонный клубок,МК
20496,Бехтерева седалищный симптом,БСС
20497,дыхание управляемое,ДУ
20501,питание искусственное,ПИ
20502,мазок нативный,МН
20503,пульсовая кривая,ПК
20504,спирохетоз возвратный эпидемический,СВЭ
20507,Уилсона отведения,УО
20508,инверсия сна,ИС
20510,артрит ревматоидный,АР
20513,остеопатия кишечная,ОК
20516,Costae fluctuantes,CF
20517,Барре симптом нижний,БСН
20518,заторможенность моторная,ЗМ
20520,Эберта метод,ЭМ
20523,Ко Туи симптом,КТС
20524,придаток яичника,ПЯ
20525,Фрейда принцип реальности,ФПР
20527,ладонные узоры,ЛУ
20528,"Fibulotalare posterius,",FP
20529,гематоофтальмический барьер,ГБ
20531,клеточная оболочка,КО
20532,Шмидена операция,ШО
20534,Cerebelli inferior posterior,CIP
20535,пьедра черная,ПЧ
20537,давление кровенаполнения,ДК
20540,Дика реакция,ДР
20542,водянка перикарда,ВП
20543,эритробластоз плода,ЭП
20545,челюстно-жевательная область,ЧЖО
20550,мочегонные средства,МС
20553,осциллография артериальная,ОА
20554,гематокритное число,ГЧ
20556,ионизационная камера,ИК
20557,чревный ствол,ЧС
20558,Кречмера пропорция диатетическая,КПД
20560,Вейсмана симптом,ВС
20562,ионные теории,ИТ
20563,Labiales anteriores,LA
20567,крапивница Милтона,КМ
20568,Palpebrales nasales,PN
20569,тиф возвратный клещевой,ТВК
20570,липогранулематоз брыжейки,ЛБ
20571,прачечный отряд полевой,ПОП
20576,чесотка ячменная,ЧЯ
20578,подошвенная борозда латеральная,ПБЛ
20581,противочумная станция,ПС
20583,полипозиционное исследование,ПИ
20584,Fonticuli anterioris os,FAO
20585,носовые ветви,НВ
20586,краниотомия двусторонняя лоскутная,КДЛ
20588,аутостимуляция сердца,АС
20589,Tibiocalcanearis pars,TP
20590,Apicalis (superior) ramus,A(R
20593,Апера гирсутизм,АГ
20594,"Interosseae metacarpeae volares,",IMV
20596,косточки барабанные,КБ
20597,Taeniarhynchus saginatus,TS
20601,Гиппократа шум плеска,ГШП
20602,Лоссена операция,ЛО
20605,Штиллинга ядро,ШЯ
20606,поджелудочный сок,ПС
20608,дефигурация сустава,ДС
20612,Калера болезнь,КБ
20615,сегмент печени,СП
20616,гипербилирубинемия конституциональная,ГК
20620,носовая раковина средняя,НРС
20621,регистрирующее устройство,РУ
20623,желтуха врожденная негемолитическая II типа,ЖВНIТ
20624,Lymphonodi anorectales,LA
20628,кожно-венозный коэффициент,КВК
20631,шваннома злокачественная,ШЗ
20636,Федеричи опыт,ФО
20637,пяточные ветви латеральные,ПВЛ
20640,фарингит афтозный,ФА
20643,приемно-сортировочное отделение,ПСО
20644,искусственная вентиляция легких,ИВЛ
20645,синдром сердечно-диафрагмальный,ССД
20646,покрышечно-бугорный путь,ПБП
20647,вакуум-электрофорез,ВЭ
20648,управление больничной базы (УББ),УББ(
20650,группоспецифические вещества,ГВ
20651,джексоновская эпилепсия,ДЭ
20655,обонятельная полоска,ОП
20657,зубчатый край,ЗК
20658,индекс сезонности,ИС
20659,брыжеечное сплетение каудальное,БСК
20664,Anteriores (nn. thoracalium),A(T
20665,головка плюсневой кости,ГПК
20666,F. pelvis parietalis,FPP
20667,Водовозова векорасширитель,ВВ
20669,экзофтальм злокачественный,ЭЗ
20672,аденома сальных желез прогрессирующая,АСЖП
20674,синдром гепатолиенальный,СГ
20675,сальниковое углубление верхнее,СУВ
20677,госпитальная школа,ГШ
20678,Petrosus superficialis minor,PSM
20682,чахотка черная,ЧЧ
20684,волоконца глиоцита,ВГ
20685,диатермоконизация шейки матки,ДШМ
20686,Клоке грыжа,КГ
20687,эхинококкоз альвеолярный,ЭА
20688,гуанозинфосфорная кислота,ГК
20689,Либесни рефлекс,ЛР
20691,нефропатия остеогенная,НО
20692,Cardiacus medius,CM
20695,возвышение раковины,ВР
20701,Caroticotympanicus superior,CS
20703,лихорадка пятнистая Скалистых гор,ЛПСГ
20705,внутриклеточная жидкость,ВЖ
20706,Керра симптом,КС
20709,паралич периодический нормокалиемический,ППН
20710,Вебера принцип,ВП
20711,медико-гелиометеорологическая служба,МГС
20712,склеродермия генерализованная,СГ
20714,анемия злокачественная,АЗ
20715,Гоффы ложка,ГЛ
20716,реакция «антиген-антитело»,Р«А
20724,Фишера проба,ФП
20726,a-цитомембрана,AЦ
20727,дерматоз дисменорейный симметричный,ДДС
20731,Байуотерса синдром,БС
20732,гранулема пиококковая,ГП
20734,лихорадка геморрагическая,ЛГ
20738,синдром бульбарный,СБ
20739,дистония сосудистая,ДС
20740,Posterior ramus,PR
20746,спиномозжечковый путь задний,СПЗ
20747,амилоидоподобные тельца,АТ
20748,Шоффара треугольник,ШТ
20750,Салюс-Гунн III,СГI
20751,Haemorrhoidales superiores,HS
20756,синдром дисфункции синусного узла,СДСУ
20759,период изгнания,ПИ
20760,Лиссауэра зона,ЛЗ
20762,панкреатохолангиорентгенография ретроградная,ПР
20765,Шпильмейера расплавление нервных клеток,ШРНК
20769,Nasales externi (n. infraorbitalis),NE(I
20770,городовой физик,ГФ
20771,синдром большой,СБ
20773,Кунитца метод,КМ
20775,синдром астенодистимический,СА
20776,Spirale cochleae,SC
20779,Мюллера - Блюмбергера коэффициент,МБК
20783,Россолимо психологический профиль,РПП
20784,Балтина схемы-измерители,БСИ
20785,отек кожи острый весенний,ОКОВ
20786,мышечный сегмент,МС
20787,оборот койки,ОК
20790,petit mal,PM
20792,борозда поперечного синуса,БПС
20793,Vag. tendinis m. flexoris carpi radialis,VTMFCR
20794,невроз ядерный,НЯ
20795,Levator scapulae,LS
20796,водянка головного мозга,ВГМ
20797,литотриптор-цистоскоп,ЛЦ
20799,канал лицевого нерва,КЛН
20803,гонадотропин хорионический,ГХ
20804,Люце массаж,ЛМ
20805,Тавары узел,ТУ
20806,Беркитта лимфома,БЛ
20807,Филатова-Кальфы эластотонометр,ФКЭ
20808,остеома легких ветвистая,ОЛВ
20811,Communicans cum n. linguali,CCNL
20813,Cutaneus dorsi pedis medius,CDPM
20814,Дельбанко болезнь,ДБ
20816,мизинец инфантильный,МИ
20818,Гиппократа пальцы,ГП
20821,Гесса проба,ГП
20822,ветвь тройничного нерва вторая,ВТНВ
20823,мукоитинсерная кислота,МК
20828,ванны субаквальные,ВС
20831,эпигастральная область,ЭО
20833,Ciliares longi,CL
20834,отверстие нижней полой вены,ОНПВ
20837,эмфизема легких,ЭЛ
20838,Стукея операция,СО
20839,устье маточной трубы,УМТ
20840,Эриксена симптом,ЭС
20843,нефрит болевой,НБ
20844,мошоночные ветви,МВ
20845,проявление гена,ПГ
20850,Arytenoideus transversus,AT
20851,околоносовые пазухи,ОП
20852,deja eprouve,DE
20853,Митбрейта доступ,МД
20856,лимфаденит липомеланотический,ЛЛ
20857,тампон пневматический Мезрина,ТПМ
20858,Штодмейстера аномалия лейкоцитов,ШАЛ
20859,Ефуни метод обезболивания,ЕМО
20864,трикарбоновые кислоты,ТК
20868,пресинаптический пузырек,ПП
20870,Пика синдром,ПС
20872,Фера дистрофия роговицы,ФДР
20873,рожа свиней,РС
20875,Адамсона livedo lenticularis,АLL
20876,гетеротрансплантация опухоли,ГО
20877,мобилизатор диафрагмального нерва,МДН
20880,слуховой пузырек,СП
20882,винсловова поджелудочная железа,ВПЖ
20883,Фрешельса симптом,ФС
20884,Субботина костный шов,СКШ
20886,ксантопротеиновая реакция,КР
20887,грудино-ключично-сосцевидная область,ГКСО
20891,Эбнера контурные линии,ЭКЛ
20892,коэффициент интранатальной смертности,КИС
20894,электрофорез-диатермия,ЭД
20895,кожа мраморная,КМ
20899,Бонневи-Улльриха синдром,БУС
20901,ритм сердца терминальный,РСТ
20902,"anteriores (PNA,",A(
20903,эписклеральные веточки,ЭВ
20905,Ниссля острое заболевание,НОЗ
20906,возвышение большого пальца,ВБП
20907,кифоз юношеский,КЮ
20908,коли-титр,КТ
20911,Браве-Джексона эпилепсия,БДЭ
20913,рука таламическая,РТ
20914,железистый тяж,ЖТ
20919,период раскрытия,ПР
20920,Esophagei rami,ER
20921,Гоффманна щипцы,ГЩ
20922,диссоциация бактерий,ДБ
20927,физическое развитие,ФР
20928,эпидермолиз буллезный врожденный,ЭБВ
20929,Palatinae minores,PM
20931,Гибсона метгемоглобинемия,ГМ
20932,Бакшеева метод пережатия маточных артерий,БМПМА
20934,глюкуроновая кислота,ГК
20935,саркома Юинга,СЮ
20936,Anastomotica superior,AS
20937,Coronarius cordis posterior,CCP
20939,Adductor hallucis,AH
20940,дезинфекционно-инструкторский отряд фронта,ДИОФ
20942,Tympanica anterior,TA
20943,Риккенберга-Брусина реакция,РБР
20945,мясная вода,МВ
20946,спленоцит Паппенгейма,СП
20950,Nodi lymphatici linguales,NLL
20954,пяточная точка,ПТ
20955,метка радиоактивная,МР
20957,манежный бег,МБ
20958,минерализация воды,МВ
20959,гипогастральная область,ГО
20961,Лютца болезнь,ЛБ
20963,"Duodenocava plexus venosus,",DPV
20964,Квика показатель,КП
20965,санитарная повозка,СП
20966,экспираторная мощность легких,ЭМЛ
20967,межкостная перепонка,МП
20968,Mediana cubiti,MC
20970,мания тревожная,МТ
20972,Абуладзе прием,АП
20974,дисплазия фиброзная костей,ДФК
20975,Inguinales rami,IR
20976,"Annulare anterius tarsi,",AAT
20979,Крейбиха нейродермит,КН
20980,коэффициент коинциденции,КК
20981,метастаз известковый,МИ
20982,Vesicales craniales,VC
20984,поперечная борозда,ПБ
20987,ramus (a.,R(
20988,"Ligamenti teretis hepatis,",LTH
20991,сосочковый проток,СП
20993,основное вещество,ОВ
20996,Уикхема сетка,УС
20999,LE-феномен,LФ
21000,Робена-Мажито складка,РМС
21006,надостная ямка,НЯ
21007,прессорная проба,ПП
21010,евнухоидизм гипофизарный,ЕГ
21011,азотистый баланс,АБ
21012,деконденсация хромосом,ДХ
21013,Холлендера-Симонса болезнь локальная,ХСБЛ
21014,гранулема фавозная,ГФ
21015,невус сосудистый бородавчатый Киссмейера,НСБК
21016,Егера пластинка,ЕП
21019,нервное тельце инкапсулированное,НТИ
21020,перегородка носа,ПН
21021,Шахматова трубка,ШТ
21022,лактат-ацидоз,ЛА
21023,шпатель 2,Ш2
21025,Розенмюллера лимфатический узел,РЛУ
21026,энцефалопатия алкогольная,ЭА
21027,трупные газы,ТГ
21028,целомическая жидкость,ЦЖ
21029,ретикулез макроглобулинемический,РМ
21032,психоз преэкламптический,ПП
21034,Каста дисхондроплазия,КД
21035,Джакомини синдром,ДС
21036,сердечный толчок добавочный протодиастолический,СТДП
21037,центральное тельце,ЦТ
21039,конусовидный бугорок,КБ
21041,олигофрения ксеродермическая,ОК
21046,медицинское оснащение полевое,МОП
21048,Левинсона симптом,ЛС
21051,Филлипса реакция,ФР
21053,Поспелова проба зондом,ППЗ
21054,Волковича симптом,ВС
21055,импеданс электрический,ИЭ
21056,аускультативный провал,АП
21060,Кречмера многомерный диагноз,КМД
21062,Штейнера-Фернера синдром,ШФС
21063,Dorsalis penis subfascialis,DPS
21064,средства защиты,СЗ
21066,Tibiotalaris pars,TP
21068,Шарпа-Шуба способ,ШШС
21069,fremissement cataire,FC
21070,пневмония Луизианы,ПЛ
21071,мозг костный фиброзный,МКФ
21075,зародышевый узел,ЗУ
21077,вращательная проба,ВП
21078,лихорадка шестидневная,ЛШ
21080,Тибьержа-Вейссенбаха синдром,ТВС
21081,метавезикулярная мембрана,ММ
21082,атомное оружие,АО
21083,"femoris posterioris) (PNA,",FP(
21084,Мак-Уортер,МУ
21088,кожные сосочки,КС
21089,альвеолярная ветвь верхняя средняя,АВВС
21090,фолликулит и перифолликулит головы абсцедирующий подрывающий Гоффманна,ФИПГАПГ
21091,диатез нервно-артритический,ДНА
21092,Линдеманна эхинококкэктомия,ЛЭ
21093,Палмера проба,ПП
21094,ротовая ямка,РЯ
21098,импульсивное помешательство,ИП
21099,стридор врожденный,СВ
21100,улитковое окно,УО
21101,геохимическая провинция,ГП
21107,крезиловый фиолетовый прочный,КФП
21111,дерматит профессиональный,ДП
21112,Розе симптом,РС
21115,летальность послеоперационная,ЛП
21118,эндогенные опиаты,ЭО
21119,Азуа псевдоэпителиома воспалительная,АПВ
21120,гастрит складчатый,ГС
21121,Communicantes cum n. hypoglosso,CCNH
21124,эласторексис системный Турена,ЭСТ
21125,Брандта операция,БО
21126,Гийена симптом,ГС
21128,Supraclaviculares intermedii,SI
21134,рефлюкс периваскулярный,РП
21135,цилиндрома яичника,ЦЯ
21140,Николаева симптом,НС
21143,слой миелина,СМ
21149,концентрация торможения,КТ
21150,околопрямокишечное пространство,ОП
21151,тромботест Оврена,ТО
21154,Scalenus minimus,SM
21156,брыжеечное сплетение нижнее,БСН
21160,конусовидный сосочек,КС
21166,пронационный синергический феномен,ПСФ
21168,Smith-Petersen,SP
21169,миндаликовые ветви,МВ
21172,сестра по уходу за больными,СПУЗБ
21173,сальниковая сумка,СС
21176,полулунная линия,ПЛ
21177,лишай тропический желтый,ЛТЖ
21182,сознание активности «я»,СА«
21183,клипирование сосудов,КС
21184,анальные столбы,АС
21185,зрачковая перепонка,ЗП
21187,аффективная диссоциация,АД
21188,carcinoma in situ,CIS
21189,Сотта гипертрофический неврит,СГН
21198,хрящ эластический,ХЭ
21199,желточный мешок,ЖМ
21200,амфиастральное веретено,АВ
21201,Гудвина-Белта-Соррентино операция,ГБСО
21202,нефропатия висмутовая,НВ
21203,фистула преаурикулярная врожденная,ФПВ
21204,"Intermetacarpeae dorsales,",ID
21207,"Linguales profundae,",LP
21208,мозг головной,МГ
21209,Inguinale (Pouparti),I(
21210,вакуум-экскохлеация,ВЭ
21211,перевивка опухоли,ПО
21212,анорексия нервно-психическая,АНП
21214,Сиротинина-Куковерова симптом,СКС
21215,Фогта-Коянаги-Харады синдром,ФКХС
21218,Чернавского метод,ЧМ
21221,зона токсического действия,ЗТД
21222,Капоцци признак,КП
21223,сыпь (-и),С(И
21227,связка (-и),С(И
21228,перикардтон диастолический,ПД
21230,лимбальные глазки,ЛГ
21232,лучевая точка,ЛТ
21238,система фибринолитическая крови,СФК
21239,микрокератом Барракера,МБ
21242,ундулирующая мембрана,УМ
21244,Вирхова тельца,ВТ
21245,Горнера обратный синдром,ГОС
21247,дозиметр солнечной радиации,ДСР
21248,энцефалит периаксиальный диффузный,ЭПД
21249,Brugia malayi,BM
21250,fragilitas ossium.,FO
21251,и страха,ИС
21252,Лангенбека пинцет,ЛП
21255,кардиография радиоизотопная,КР
21257,Кнотта метод,КМ
21258,гибридная сила,ГС
21265,палатка кислородная,ПК
21266,Розова сухожильный шов,РСШ
21267,сомнамбулизм гипнотический,СГ
21268,либеркюновы железы,ЛЖ
21269,Пьетрантони синдром,ПС
21270,душевая кафедра,ДК
21272,Тернера синдром,ТС
21273,Каннера синдром,КС
21274,Ядассона проба,ЯП
21275,стеноз субаортальный мышечный,ССМ
21276,реакция бластотрансформации лимфоцитов,РБЛ
21277,андробластома яичника диффузная,АЯД
21278,климатопатологическая реакция,КР
21281,"Magna Galeni,",MG
21282,свидетельство о болезни,СОБ
21283,Вирхова васкулезный пахименингит,ВВП
21284,почка вторично-сморщенная,ПВС
21285,Барлоу феномен,БФ
21286,Флетчера болезнь,ФБ
21289,Mikulicz-Radecki,MR
21290,показатель наглядности,ПН
21291,бюнгнеровы ленты,БЛ
21293,белая линия шеи,БЛШ
21295,синдром задней спинномозговой артерии,СЗСА
21296,Франческетти эктодермальная дисплазия,ФЭД
21297,Розенмюллера складка,РС
21301,ретикулема доброкачественная,РД
21302,анемия гемолитическая новорожденных,АГН
21303,"Phrenicogastricum sinistrum,",PS
21305,тон двойной Траубе,ТДТ
21307,соустье артериосинусное,СА
21308,корковое вещество надпочечника,КВН
21309,Бехтерева симптом,БС
21310,врач-бальнеолог,ВБ
21311,Вотчала пневмотахометр,ВП
21313,крипта-абсцесс,КА
21314,Л лимфоцитаферез,ЛЛ
21317,Кюммелля болевая точка,КБТ
21319,"Accessoria (Henle),",A(
21320,Брюкке мышца,БМ
21322,рефлекторное действие лекарственных веществ,РДЛВ
21323,цистерна подпаутинная,ЦП
21324,Кайзерлинга метод,КМ
21325,B. m. coracobrachialis,BMC
21326,конституциональная глупость,КГ
21331,Дежардена панкреатическая точка,ДПТ
21332,хирургическая бригада,ХБ
21333,психомоторные расстройства,ПР
21336,Мейнерта пучок,МП
21338,энцефалит Досона,ЭД
21340,Поттенджера симптом,ПС
21341,Mediastinales anteriores,MA
21344,трихонокардиоз подмышечный,ТП
21347,медицинское донесение,МД
21350,микробиологический реактор,МР
21351,гаплоидный набор хромосом,ГНХ
21352,Cuboideum os,CO
21353,status thymicolymphaticus,ST
21354,опасный производственный фактор,ОПФ
21355,Юргенса синдром,ЮС
21356,Фридрейха стопа,ФС
21357,альвеолярные возвышения,АВ
21360,чувствительность 2,Ч2
