term,abbr_by_first_letters
сублимация,С
Psarnne,P
лептосклерия,Л
"симптом куртки, полукуртки",СКП
утопление,У
Gluteus superior,GS
материнский эффект,МЭ
санитария,С
туннель внутренний,ТВ
Чапин,Ч
кислород,К
бактериальный аэрозоль,БА
пироговские полоски,ПП
гомозиготность,Г
гомотрансплантация,Г
Мишера,М
подглазничный канал,ПК
кардиоаортография,К
почка галетообразная,ПГ
аллокортекс,А
ретракция,Р
аттракция,А
крыша барабанной полости,КБП
бессвязность мышления,БМ
пахионовы ямки,ПЯ
Кочиашвили панкреатодуоденэктомия,КП
зубная альвеола,ЗА
нади-реакция,НР
Брока парапсориаз,БП
эпигнатия,Э
Даймонда пуповинный метод,ДПМ
ретикулоплазмоцитоз,Р
пищевод извитой,ПИ
френэктомия,Ф
игнипунктура,И
тиф клещевой тропический,ТКТ
предсердно-желудочковая перегородка,ПЖП
микоплазма,М
голодная периодическая деятельность,ГПД
Фрей-Байярже синдром,ФБС
изоляция,И
плечо хромосомы,ПХ
санитарные конвенции,СК
ионография,И
экзантема,Э
Armstrong,A
деларвация,Д
Шевалева операция,ШО
никто-,Н
"Iridis temporalis,",IT
кетоацидоз,К
Гансена палочка,ГП
инъектор безыгольный,ИБ
Оливекруны клипсы,ОК
Шоупа вирус,ШВ
экспертиза военно-врачебная (ВВЭ),ЭВВ(
Quincke,Q
коринебактерии,К
пероксидазы,П
язва атероматозная,ЯА
"Innominatum osa,",IO
кариес,К
дуоденография,Д
кардиомиотомия по геллеру,КПГ
белочная оболочка губчатого тела,БОГТ
миелолейкоз хронический,МХ
родоразрешение,Р
бронхомегалия,Б
зоб токсический,ЗТ
Подреза «часовая пружина»,П«П
конфликт внутрипсихический,КВ
спирохетоз клещевой,СК
цистеиновая кислота,ЦК
Ганзера спайка,ГС
нефропатия подагрическая,НП
Хартмен,Х
Шеде шина,ШШ
гепатофосфорилазная недостаточность,ГН
Laguer,L
носовая ветвь наружная,НВН
протромбиназа,П
"Cotyloideofibrocartilagineum acetabuli,",CA
Nodi lymphatici mastoidei,NLM
Rickets,R
осветление воды,ОВ
нормоцит,Н
дом инвалидов,ДИ
зона биологического действия,ЗБД
трубная ветвь,ТВ
гидрофобия,Г
аэрогелиоплощадка,А
западение языка,ЗЯ
корсет мышечный,КМ
Semimembranaceus,S
панартериит множественный облитерирующий,ПМО
Haidinger,H
критический уровень деполяризации,КУД
Widmer,W
Kalitowski,K
Балтина метод,БМ
сифилис тропический,СТ
Sphincter ani intemus,SAI
сепсис туберкулезный острый,СТО
спиральный канал,СК
Макъюина симптом,МС
гипохолия,Г
комиссуротомия,К
Полланд,П
синдром аноректальный,СА
Oberste,O
Wildervanck,W
мицетома аспергиллезная,МА
ДКГ,Д
родостимулирующие средства,РС
Inferior (n. vestibulocochlearis),I(V
адренореактивные структуры,АС
Бушке-Оллендорфф синдром,БОС
аппарат-сандалия Митбрейта,АСМ
экссудативный,Э
Поргеса гастроилеальный рефлекс,ПГР
летучие глазные отряды,ЛГО
психотерапия,П
синдром фрейбургский,СФ
Nervi facialis,NF
Губарева-Гаусса признак,ГГП
синдром передней лестничной мышцы,СПЛМ
Intercostales anteriores rami,IAR
Гурлер,Г
седалищная область,СО
Хоттингера перевар,ХП
Silbert,S
ангиолипоматоз,А
генофонд,Г
циклокоагуляция лазерная,ЦЛ
анастрофе,А
Гейнца,Г
рефрактерная фаза,РФ
дисплазия хондроэктодермальная,ДХ
JNA,J
депигментация,Д
крикостомия,К
Cerebri,C
Маркнафава,М
Fibularis communis,FC
Nicoladoni,N
Гунта,Г
палочка сибиреязвенная,ПС
Артюса феномен,АФ
арахидоновая кислота,АК
липоидоз фосфатидный,ЛФ
F. brachii,FB
дисплазия фиброзная семейная,ДФС
мембрана круглого окна,МКО
звукопроводимость костная,ЗК
глаз преобладающий,ГП
тергит,Т
Rulf,R
Вертгейма операция,ВО
"Capsulares (hepatis) (Rauber),",C((
спринцевание,С
хронаксиметрия,Х
Кардуччи,К
витальность «я»,В«
диоптрика глаза,ДГ
адреналовая проба,АП
расщелина мочеиспускательного канала верхняя,РМКВ
артролиз,А
дисгаммаглобулинемия,Д
легкие поликистозные,ЛП
медицинское формирование,МФ
Мари периостоз,МП
Bohne,B
Гвиста симптом,ГС
эзофагоэлектрокардиография,Э
антропопатизм,А
пурпура молниеносная,ПМ
крайняя плоть,КП
пронатор,П
пневмотиреоидография,П
Афанасьев,А
сиал-,С
Адамса операция,АО
Заттлера симптом,ЗС
тест лейкоцитолиза,ТЛ
сикоз обыкновенный,СО
захрусталиковое пространство,ЗП
область гипоталамуса промежуточная,ОГП
диабет потенциальный,ДП
Боннера метод,БМ
Казем-Бека симптом,КБС
карнозин,К
фиброплазия ретролентальная,ФР
никотинамидадениндинуклеотидфосфат,Н
Refsum,R
ас-глобулин,АГ
почка головная,ПГ
гортанная часть глотки,ГЧГ
Brandt,B
гастродискоидоз,Г
ветви к щитовидной железе,ВКЩЖ
апластический,А
Дежерина рефлекс,ДР
десневые ветви нижнечелюстные,ДВН
Дауна болезнь,ДБ
Lexer,L
гематоциста,Г
дистония мышц деформирующая,ДМД
медико-топографическое описание,МТО
параноид алкогольный,ПА
Iliohypogastricus,I
Гехта симптом,ГС
Ферран,Ф
Конгейма опыт,КО
диффузия,Д
почка удвоенная,ПУ
футляр-стерилизатор,ФС
симптомокомплекс ангионевротический,СА
Anterior ramus,AR
Вальдмана токсическая гипотония,ВТГ
Vas publicum,VP
palmares propriae (PNA;,PP(
пельвиграфия,П
синдром длительного раздавливания,СДР
ганглиоблокаторы,Г
Moon,M
IgG,I
нанизм примордиальный,НП
Suboccipitalis plexus venosus,SPV
диапазон приемлемости,ДП
мякотный шнур,МШ
реабразия,Р
синдром передних корешков спинного мозга,СПКСМ
язва сифилитическая,ЯС
подвижное отделение медицинского склада,ПОМС
почка сморщенная,ПС
симптом зрачка,СЗ
периаднексит,П
фармакопея,Ф
филлохиноны,Ф
участок заражения,УЗ
Шихена синдром,ШС
Эльшнига уздечковый шов,ЭУШ
бельмо,Б
псевдоизохроматические таблицы,ПТ
Bottini,B
Катлена блокада,КБ
реплантация зуба,РЗ
синдром лучевой острый,СЛО
Unverricht,U
симптом кулака,СК
ИТФ,И
ваго-,В
электрокортикограф,Э
миндалина мозжечка,ММ
клетка-предшественник,КП
Ниссля хроматофильные глыбки,НХГ
Уайта артротомия,УА
АЦС,А
диссеминированный,Д
Штоккингера окраска,ШО
блефаротик,Б
Chorioideae,C
кортико-бульбарный путь,КБП
Симе,С
пункт сбора легкопораженных (ПСЛП),ПСЛ(
Nutricia femoris inferior,NFI
Brun,B
Вилли синдром,ВС
Турена врожденный поликератоз,ТВП
Рейсбск,Р
апоневрозит подошвенный,АП
миодистрофия Эрба,МЭ
осциллограмма,О
осмометр,О
речь манерная,РМ
дерматофибросаркома выбухающая,ДВ
плацента диффузная,ПД
с очаг деструкции,СОД
Бунге ложка,БЛ
прецистная форма,ПФ
пневмония интерстициальная мононуклеарная очаговая фиброзирующая,ПИМОФ
адренокортикотропин,А
Каццони проба,КП
спланхнопексия,С
меруляция,М
слепота гражданская,СГ
антиперистальтика,А
плотность ионизации,ПИ
дерматит папулезно-чешуйчатый атрофический,ДПЧА
Talbot,T
симптом катания пилюль,СКП
Гетчинсона,Г
зона здоровья,ЗЗ
бактериоуловитель,Б
Василиу синдром,ВС
проводимость,П
пикрогевзия,П
Барре синдром,БС
амигдалоидный,А
Айера субокципитальный прокол,АСП
система2,С
тубулярный,Т
Энгеля-Реклингхаузена болезнь,ЭРБ
тениоз,Т
блефаростат,Б
синдром угловой извилины,СУИ
Делея,Д
зона контузии тканей,ЗКТ
Леви симптом,ЛС
Леопольда приемы,ЛП
термолабильный,Т
CuDoideonaviculare plantare,CP
фиксатор,Ф
индекс кишечной палочки,ИКП
плексалгия,П
Obliquus capitis superior,OCS
окружающая среда,ОС
Iselin,I
желтуха шприцевая,ЖШ
синовиоартрит,С
скорпионы,С
олеопневмония,О
Parrot,P
Мартина,М
тироцит парафолликулярный,ТП
эмоциональная проба,ЭП
Сетена крахмальная повязка,СКП
олигошизофрения,О
ацетонемия,А
общественный совет,ОС
предлежание пуповины,ПП
Томаса метод,ТМ
Хилова качели,ХК
Беттмен,Б
мочепузырно-половое сплетение,МПС
Sternopericardiacae chordae,SC
компрессионный метод,КМ
гранулема пиогенная,ГП
сульфат нильского голубого,СНГ
Диаса синдром,ДС
пучок фавна,ПФ
Adams,A
"Inguinale (Cooperi),",I(
коклюш,К
Розова шина,РШ
тазомер,Т
липодистрофия интестинальная,ЛИ
трахеомегалия,Т
витаминология,В
Ричмонда коронка,РК
миелобластоз,М
наклоненный отросток задний,НОЗ
Sezary,S
мелитококкоз,М
Уитмена гипсовая повязка,УГП
Пеппера синдром,ПС
Олбрайта болезнь,ОБ
Cardiaci cervicales superiores,CCS
Брахта способ,БС
декортикация,Д
фотосенсибилизирующие средства,ФС
Cutanei anteriores,CA
Кенига болезнь,КБ
артефакт,А
мегадуоденум,М
"Radialis internus,",RI
Grossich,G
Magrassi,M
Ogden,O
синдром лобной доли,СЛД
Millard,M
субкома,С
бронхиолит,Б
несовершеннолетие,Н
трансрепликация,Т
Wood,W
Anterior descendens ramus,ADR
Сулье болезнь,СБ
Алферова операция,АО
Эрманна склерозирующий фолликулит затылка,ЭСФЗ
Бейкера киста,БК
кардиотахометр,К
фито-,Ф
бюджет здравоохранения,БЗ
вазопатия,В
Doisy,D
Gratia,G
Blumberg,B
Schultz,S
клетки-сателлиты,КС
ранорасширитель,Р
панникулит,П
двенадцатиперстно-кишечное вдавление,ДКВ
ключичная вырезка,КВ
полименорея,П
Kappis,K
Зимонта ортоскоп,ЗО
Дюбрея лимфатическая почесуха,ДЛП
сайт,С
"Magna pollicis,",MP
Фейль,Ф
Digitales dorsales hallucis fibularis et digiti secundi tibialis,DDHFEDST
гемералопия,Г
"Volaris profundus ramus,",VPR
кардиоваскулярная форма амилоидоза,КФА
полиартрит первичный хронический,ППХ
состояние здоровья населения,СЗН
Шенка болезнь,ШБ
метафизит,М
Аллисона операция,АО
компрессионно-тонометрическая проба,КТП
финна,Ф
бронхостеноз,Б
транспозон,Т
Trantas,T
ухо внутреннее,УВ
Glutaea cranialis,GC
"superior (BNA),",S(
пневмокостюм,П
Лысенкова операция,ЛО
полукружные каналы,ПК
филоклейзия,Ф
бензойная кислота радиоактивная,БКР
гипопион-кератит,ГК
цианоз,Ц
фибриногенолиз трупной крови,ФТК
лентиго профузное,ЛП
психоз,П
пилефлебосклероз,П
двоение физиологическое,ДФ
псевдопаралич Парро,ПП
серо-,С
корсаковский синдром,КС
водно-санитарное законодательство,ВСЗ
Malherbe,M
Апгар шкала,АШ
псоит,П
Pierini,P
матка однорогая,МО
дактилодиния,Д
Приложение 1. Женские фамилии в составе эпонимов,П1ЖФВСЭ
Van Hook,VH
"Superficialis perinei,",SP
Марфана прокол перикарда,МПП
Экономо-Фишера синдром,ЭФС
декремент проведения,ДП
психометрия,П
гепатохолангит,Г
дерматит интертригинозный,ДИ
Abductor pollicis brevis,APB
токография,Т
этология,Э
крапивница пигментная папулезная,КПП
гипермелия,Г
ангиохолецистит,А
этилизм,Э
Фендт,Ф
Welti,W
алогизм,А
инфекция гнойная,ИГ
склеротенонит,С
андезитоз,А
гемосидероз кожи сетчатый старческий,ГКСС
Пика синдром 1,ПС1
Героты фасция,ГФ
гиперхромия,Г
спленэктомия,С
Мейленграхта желтуха,МЖ
гипертиреоидизм,Г
Бойда,Б
селезенка дольчатая,СД
Геринга волны,ГВ
лазер,Л
прагматамнезия,П
Pulmonalis anterior,PA
рентгеновская станция передвижная,РСП
миринготомия,М
синовиальная жидкость,СЖ
радиоколлоиды,Р
Cutaneus brachii dorsalis,CBD
симптом экспираторного вздутия,СЭВ
B. subtendinea m. tibialis anterioris,BSMTA
надчревная область,НО
Ланца операция,ЛО
рифамицины,Р
паралич холодовой Левандовского,ПХЛ
Денига операция,ДО
противоаллергические средства,ПС
Boston,B
Барда теория,БТ
"Fibularis,",F
Gamna,G
Transversus abdominis,TA
фурункулез,Ф
Вирхова сифилитический хондрит,ВСХ
Шумлянского-Боумена капсула,ШБК
кинемолапароскопия,К
пиомиозит тропический,ПТ
активное посещение,АП
Бакгауза цапки,БЦ
диз-,Д
Саббароу,С
дистрофия печени токсическая,ДПТ
Биота дыхание,БД
плацентома,П
кератогиалин,К
Петцля криз,ПК
Lowenstein,L
ногтевой валик,НВ
Русакова карболовый спирт,РКС
олива,О
порэнцефалия ложная,ПЛ
рестеноз,Р
Винкельманна операция,ВО
Герен,Г
экскрет,Э
палочка Арагана,ПА
ясли-детский сад,ЯДС
дерматит токсико-аллергический пустулезный язвенный,ДТАПЯ
Halle,H
Bronchialis superior,BS
пересадка,П
Cardiaci superiores (n. vagi),CS(V
гинатрезия,Г
алкаптонурия,А
ванны суховоздушные,ВС
ветвь к средней доле,ВКСД
борозда ножки завитка,БНЗ
склеропластика,С
гиподерма,Г
Дугласа крик,ДК
Пашева операция,ПО
Толбота закон,ТЗ
кожица ногтевая,КН
Junius,J
носоглотка,Н
индуцированное помешательство,ИП
медикамент,М
система адаптивная,СА
Брегга пик,БП
везикуло-,В
гоноцит,Г
пуэрилизм,П
Sphenopalatina,S
Маццони тельце,МТ
мезоплазма,М
зубная формула,ЗФ
заусенцы,З
эпендимоглиома,Э
курортография,К
эндоскопия телевизионная,ЭТ
Юлиусберг,Ю
Auriculare posterius,AP
околососковый кружок,ОК
гипотеза стволовой линии,ГСЛ
диоптриметр,Д
дактилалгия,Д
Лейдена острая мозжечковая атаксия,ЛОМА
анамнестическая реакция,АР
дистальный,Д
кистография,К
Ревенко кронштейн,РК
хлебная плесень,ХП
синдром наружного кожного нерва бедра,СНКНБ
наклоненный отросток средний,НОС
сиаладенит,С
эпидидимо-,Э
альголагния активная,АА
психотоники,П
Spinales,S
Langley,L
Кейра эритроплазия,КЭ
симптом телеграфного столба,СТС
споротрихоз,С
Рота аппарат,РА
ассимиляция,А
Уайетта синдром,УС
бурсит,Б
астма,А
вагинопексия,В
Ilosvay,I
Ортнера симптом,ОС
дренаж активный,ДА
Омелянского среда,ОС
миэктомия,М
Хаммена симптом,ХС
Citelli,C
Стукея проба,СП
вращательная реакция,ВР
эзофагоскоп,Э
гипокинезия сердца,ГС
половой цикл,ПЦ
холедохоеюностомия,Х
гематологический автомат,ГА
дегенерация спиноцеребеллярная,ДС
Реклингхаузена гиперпластическая маляция,РГМ
альбумин-глобулиновый коэффициент,АГК
логеграфия,Л
Мебиуса синдром,МС
сафранелин,С
амебоциды,А
эвентрация,Э
Бизальского когтистый зажим,БКЗ
амиоплазия врожденная,АВ
дегидрогеназы,Д
радиоактивное облако,РО
лейкемическое зияние,ЛЗ
тропо-,Т
либерины,Л
Гетчинсона язвенный индуративный туберкулез кожи,ГЯИТК
Вестфаля псевдоступор,ВП
Witebsky,W
дерматомицеты,Д
Ферстера-Альтенбургера миостатический рефлекс,ФАМР
Волошинова шина,ВШ
Фрей симптом,ФС
"Meniscomandibulare laterale (Sebileau),",ML(
выделительные протоки,ВП
манноза,М
Tooth,T
декстрофория,Д
люэс,Л
ПДД,П
соматология,С
дарсонвализация,Д
Тюрель,Т
конизация шейки матки,КШМ
балантидии,Б
адвентициальное сплетение,АС
психическая заторможенность,ПЗ
клонус,К
Гайе,Г
вращатели груди,ВГ
атопический,А
уролагния,У
дистония желчная,ДЖ
Абдергальдена-Фанкони синдром,АФС
"vas (PNA,",V(
Роуз,Р
Nasmyth,N
невр-,Н
флотация средостения,ФС
хордома,Х
агранулоцитоз,А
навязчивые представления,НП
прострация,П
мышьяк радиоактивный,МР
афты новорожденных,АН
Anconeus,A
Калер,К
Бонгеффера ассоциативная апраксия,БАА
отверстие полой вены,ОПВ
зоб каменный,ЗК
Кейва разрез,КР
цитометрия субмикроскопическая,ЦС
денситограмма,Д
Турына симптом,ТС
Мартина шкала,МШ
Оллье артротомия,ОА
онтогенез,О
лимб роговицы,ЛР
Стюарта-Прауэр болезнь,СПБ
Игнатовская,И
кардиомегалия,К
антиферментные вещества,АВ
рефлюкс-энтерит,РЭ
Дивансо,Д
Bodansky,B
терминализация,Т
экзема,Э
Гаскелла,Г
аутогемотерапия,А
Collaterale ulnare,CU
деструкция,Д
анестезия психическая болезненная,АПБ
Клегхорна,К
Nasales internae,NI
кровяной сверток,КС
листок нетрудоспособности,ЛН
Бецольда,Б
Lumbalis ima,LI
мурены,М
мочеизнурение сахарное,МС
анилиновый синий спирторастворимый,АСС
анизогаметы,А
атеро-,А
лейкокератоз никотиновый,ЛН
декапсуляция,Д
плезиотерапия,П
Петровой,П
Тейлора аппарат,ТА
Гаусс,Г
ферментотерапия,Ф
ксилоза,К
рефрактерность,Р
Мажбица операция,МО
сердце бычье,СБ
летальность внебольничная,ЛВ
Tennesson,T
Де Женна пресакральный метод,ДЖПМ
Лежена синдром,ЛС
костные,К
катехины,К
психопатизация,П
Landsteiner,L
нефр-,Н
регистратура,Р
паракератоз пестрый,ПП
миеломная болезнь,МБ
Виноградского среда,ВС
лофотрих,Л
ретинит метастатический,РМ
микрозонулоскопия,М
Schuller,S
промежность,П
Christmas,C
Моделя среда,МС
"Thalamica medialis anterior,",TMA
Robinow,R
парацентез абдоминальный,ПА
военно-медицинская подготовка,ВМП
Dorsales (nn. sacralium et n. coccygei),D(SENC
Interossei volares,IV
противовирусные средства,ПС
Элсберга-Дайка симптом,ЭДС
половое воздержание,ПВ
декарбоксилирование,Д
венозная пазуха склеры,ВПС
вартонова студень,ВС
наркологическая служба,НС
тарзомаргинопластика,Т
Юсупова-Вороновича костный шов,ЮВКШ
нервон,Н
полиплоидия внутриядерная,ПВ
маршанов орган,МО
барилалия,Б
диспансерный метод,ДМ
Milroy,M
Гельвега пучок,ГП
пинта,П
Пертес,П
плазмолизис,П
антитиреоидные средства,АС
синдром гебефренический,СГ
Юшара симптом,ЮС
гипохолестеринемия идиопатическая семейная,ГИС
второй барьер,ВБ
закон «все или ничего»,З«ИН
аглюкон,А
мелитококция,М
Соловова пластика уретры,СПУ
Lymphonodi coeliaci,LC
Kraske,K
липемания,Л
перкуссия,П
Лаглейза операция,ЛО
Брике синдром,БС
диатез лимфатический,ДЛ
соланин,С
цистолитотрипсия электрогидравлическая,ЦЭ
Siebold,S
Cardiaci thoracici,CT
Абдергальдена-Кауфманна-Линьяка синдром,АКЛС
изопотенциальная зона электрокардиограммы,ИЗЭ
"Maxilla inferior,",MI
Гольдблатта единица,ГЕ
джокотерапия,Д
паралич желудка,ПЖ
летальность досрочная,ЛД
Bramann,B
Metatarseae dorsales,MD
холевая кислота,ХК
Димитри,Д
денатурация,Д
гонада,Г
карциноид Арнинга,КА
окулоэхография,О
Васильковой,В
респираторное заболевание острое,РЗО
дисфазия,Д
сосание,С
онихофагия,О
эктопия,Э
"Intraarticularia,",I
Pronator teres,PT
Ципоркин,Ц
гепатофосфоглюкомутазная недостаточность,ГН
Hopkins,H
синдром червя мозжечка,СЧМ
Фохта метод внушения,ФМВ
конверсия клеток опухоли антигенная,ККОА
левулезурия,Л
Dentalis inferior,DI
Pandy,P
канкроид,К
синдром красного ядра верхний,СКЯВ
амиксорея,А
Краббе синдром,КС
Deutschlander,D
медицинская разведка,МР
аденотом,А
Anderson,A
гипербилирубинемия негемолитическая с ядерной желтухой,ГНСЯЖ
санитарный транспорт,СТ
Зика хирургический шов,ЗХШ
децидуома злокачественная,ДЗ
эритробласт,Э
грызуны,Г
гериатрическая помощь,ГП
гемикорпорэктомия,Г
Лежнева симптом,ЛС
копчик,К
гемолимфатические узлы,ГУ
гапто-,Г
фазорентгенокардиограф,Ф
Эдельман,Э
денсовирусы,Д
хорея Гентингтона,ХГ
Centrale os,CO
электрография сердца внутриполостная,ЭСВ
желточный пузырек,ЖП
Vag. tendinum mm. extensoris digitorum communis et extensoris indicis,VTMEDCEEI
Laryngica caudalis,LC
Эренфрида болезнь,ЭБ
защитный экран,ЗЭ
Phrenicus,P
фурункул,Ф
линолевая кислота,ЛК
салуретики,С
диоптрия,Д
Schaudinn,S
Woringer,W
фунт аптекарский,ФА
лептопахименингит,Л
турникет Эсмарха,ТЭ
эпидермоид,Э
Бурже пробный обед,БПО
кератоакантома,К
Лотша коралловый сустав,ЛКС
убежище,У
Авцын,А
окунь морской,ОМ
флебит,Ф
глухота музыкальная,ГМ
Schea,S
имаготерапия,И
лепра,Л
аноксибионты,А
венотензиометрия,В
голодание лечебное,ГЛ
ангулит,А
круглый стебель,КС
спинопокрышечный путь,СП
пионерский лагерь,ПЛ
Микулича афты,МА
сифилидология,С
стерины,С
Траубе двойной тон,ТДТ
аденинмононуклеотид,А
Целена,Ц
антракотический узел,АУ
парциальное давление,ПД
придаток мозга верхний,ПМВ
Soave,S
половая жизнь,ПЖ
белое кровяное тельце,БКТ
кольпоцелиотомия,К
Холдейн,Х
почка большая сальная,ПБС
красная зернистость носа,КЗН
питириаз,П
Гертнера феномен,ГФ
Weisman,W
Ван-Бурена болезнь,ВББ
Алибера,А
Кюстнера операция,КО
"Costae lumbales,",CL
Лушки,Л
блефараденит,Б
Водяная проба Неменова,ВПН
"Nasum dilatans,",ND
стома,С
патологический процесс,ПП
бластоз,Б
Пугачева сухожильный шов,ПСШ
Interossei plantares,IP
физиопатии,Ф
амилоид ахроматический,АА
Мадленера половая стерилизация,МПС
чесотка матрацная,ЧМ
гетерогенота,Г
остеоартроз,О
Talocalcaneum laterale,TL
электровибратор,Э
патоморфоз,П
носовые ветви задние верхние латеральные,НВЗВЛ
дендритный потенциал,ДП
акропатия язвенно-мутилирующая деформирующая,АЯМД
абдоминоскопия,А
Боуэна дискератоз,БД
кефалограмма,К
Веллы способ,ВС
Annularia (trachealia),A(
Alcaligenes faecalis,AF
"(напр., ходьбы) гемоглобинурия",(ХГ
ПГД,П
радиоактивный источник объемный,РИО
юлепы,Ю
Petragnani,P
Тулуза рефлекс,ТР
кости Галезовского -,КГ
"Mesaraica inferior,",MI
Вольского косой удар,ВКУ
клеточный сок,КС
g-мотонейрон,GМ
острица,О
Labiales rami,LR
Cruciforme atlantis,CA
Rohn,R
Жильбера симптом,ЖС
иммунологическая недостаточность,ИН
каротидный,К
пилорогастрин,П
брахиморфия,Б
Auriculares temporales,AT
зрачок,З
Спенсера болезнь,СБ
ретролентальное пространство,РП
Maxillaris,M
Cantor,C
Брауна опухоли сальника,БОС
клеточный столбик,КС
псевдоэксфолиация,П
Лередда,Л
микрогастрия,М
вазокардиография,В
аденопатия гигантофолликулярная злокачественная,АГЗ
Гиффорда симптом,ГС
зона резерва некроза,ЗРН
Cestan,C
шунтирование аортокоронарное,ША
Крапфа,К
амбитендентность,А
кардиовазокинематография,К
пищевые ароматизаторы,ПА
эритромиелоз,Э
контрпульсация,К
Гольдмана метод,ГМ
эритема экссудативная многоформная,ЭЭМ
бромидрофобия,Б
Nodi lymphatici tracheobronchiales inferiores,NLTI
адреналэктомия,А
катэлектротон,К
гландулярный,Г
телеангиэктазия наследственная геморрагическая,ТНГ
синтезатор электрокардиограмм,СЭ
саккулотомия,С
Schinz,S
сольпуги,С
Kimmelstiel,K
обслуживание больных трехстепенное,ОБТ
Korff,K
синдром кашлево-мозговой,СКМ
гемикрания,Г
ФОВ,Ф
Simmonds,S
Musculi tensoris tympani,MTT
перицит,П
Мореля дизорическая ангиопатия,МДА
пьедра,П
Мак-Лауда среда,МЛС
приматология,П
гаустры ободочной кишки,ГОК
сердечный коллоид,СК
гамма-кардиограмма,ГК
сигмоидит,С
Гинецинского феномен,ГФ
Sternopericardiaca,S
Гербста метод,ГМ
конфигурация антигена,КА
нативный,Н
желтуха эмоциональная,ЖЭ
закон поверхности тела,ЗПТ
простатовезикулэктомия,П
работоспособность умственная,РУ
Гумпрехт,Г
Pulmonales sinistrae,PS
Гольденхара синдром,ГС
Торрес,Т
цианурия,Ц
реофлебография,Р
очистка воды,ОВ
Widal,W
бронхоспирограф,Б
Альбаррана доступ,АД
Клаудиуса,К
Стерлинга,С
лактобиоза,Л
"Thalamica medialis posterior,",TMP
баллистокардиограф,Б
холинергические системы,ХС
гигантоклеточная трансформация печени новорожденных,ГТПН
Гольдфлама,Г
нейрофизиология,Н
эритромелалгия,Э
"Omphaloenterica,",O
"Diploica temporalis media,",DTM
грудные ветви,ГВ
околосердечная сумка,ОС
Гате,Г
шум в ушах,ШВУ
инсулиноподобное вещество,ИВ
векторная петля,ВП
миопический конус,МК
Stylohyoideus,S
теплоотдача,Т
интерферометр,И
слияние хромосом,СХ
метаморфопсия,М
цервиц-,Ц
Шеллонга проба,ШП
incontinentia pigmenti,IP
Сейерса метод,СМ
rami (PNA;,R(
пороскопия,П
мастопатия,М
карта беременной,КБ
псевдовоспоминания псевдогаллюцинаторные,ПП
синус легочного ствола,СЛС
вагинальный,В
формообразование,Ф
Фернер,Ф
эпилепсия брюшная,ЭБ
дерматоз субкорнеальный пустулезный,ДСП
Дегио проба,ДП
Бона,Б
перфузионный коктейль,ПК
патопластика,П
Макфарлен,М
палочка сапа,ПС
пупочная складка латеральная,ПСЛ
артериолосклероз,А
Эсмарха шина,ЭШ
Шаак,Ш
Fallot,F
плазмома,П
Ландштейнер,Л
стереоэнцефалотомия,С
мозг таламический,МТ
уропротеинограмма,У
Basalis anterior ramus,BAR
андрофобия,А
Braun,B
Lucae,L
диплегия спастическая семейная,ДСС
аденомэктомия,А
Андерсона,А
амфинуклеус,А
Мансона - Шварца окраска,МШО
ларингофон,Л
Алесковского,А
Dipetalonema streptocerca,DS
половая активность,ПА
Браманн,Б
двигательный режим,ДР
Monrad,M
Фракмана буж-перфоратор,ФБП
генная инженерия,ГИ
коронарография,К
гематорахис,Г
заболеваемость 2,З2
Ремера метод,РМ
микроэнцефалометрия,М
морганиев придаток,МП
милиарный,М
гидрофтальм,Г
плексус-,П
Valleix,V
пояс радужки зрачковый,ПРЗ
Кюммелля точка,КТ
Форбса ампутация,ФА
бивалент,Б
Холдейна аппарат,ХА
тарзопластика,Т
роговое превращение,РП
электрокимограф,Э
вагинальный цикл,ВЦ
Цейсса петлевидный катетер,ЦПК
ксенодохии,К
лиофилизация,Л
симптом веера,СВ
Белла симптом,БС
pulsus bigeminus,PB
слезно-носовой проток,СНП
электролечение,Э
рецепторный прибор,РП
Venae cavae cranialis plica,VCCP
"Accessorium radiale (Henle),",AR(
Махсон,М
фото-,Ф
гематомиелия,Г
перионихия,П
спиналгия,С
Malecot,M
ген-мутатор,ГМ
псевдозастойный сосок,ПС
вагинизм,В
сульфатиды,С
симфиз,С
нефрит лучевой,НЛ
циркуль толстотный большой,ЦТБ
Episclerales,E
Soderbergh,S
гемиасинергия,Г
желчь дуоденальная,ЖД
шванноглиома,Ш
подкрепление,П
амарилльная маска,АМ
улитка,У
углубление мешочка,УМ
диетсестра,Д
Дартиг,Д
инфект,И
Popper,P
субэндотелиальный слой,СС
Mibelli,M
энцефалит таежный,ЭТ
печеночно-клеточная недостаточность,ПКН
Зданского двухщелевая решетка,ЗДР
Bb. trochantericae m. glutaei medii anterior et posterior,BTMGMAEP
область шеи латеральная,ОШЛ
граафов пузырек,ГП
глобули,Г
анверин,А
Гейденгайна железный гематоксилин,ГЖГ
брахигнатия,Б
интерсистолический интервал,ИИ
опухоль лягушачья,ОЛ
Ductus venosus (Arantii),DV(
F. penis,FP
язва вульвы острая,ЯВО
синдром задний шейный симпатический,СЗШС
уретроцистография,У
Бильшовского симптом,БС
"Cricothyreoideus anticus,",CA
слой корня дентинный зернистый,СКДЗ
интерлобулярный,И
"Azygos minor superior,",AMS
Зикерт,З
Брока закрытая вальвулотомия,БЗВ
Larsson,L
вентрикулярный,В
сонливость,С
гальванотаксис,Г
радиопротекторы,Р
