,term,abbr_by_first_letters
982,Р“РµСЃСЃР»РёРЅР° СЃРёРјРїС‚РѕРј,Р“РЎ
983,СЃРёРјРїС‚РѕРј РїР°Р»СЊС†РµРІРѕРіРѕ РІРґР°РІР»РµРЅРёСЏ,РЎРџР’
987,РїРёС‰РµРІРѕРґ С‡РµС‚РєРѕРѕР±СЂР°Р·РЅС‹Р№,РџР§
988,РґРµСЂРјР°С‚РёС‚ Р»РёРїРѕРёРґРЅС‹Р№ Р°С‚СЂРѕС„РёС‡РµСЃРєРёР№ РћРїРїРµРЅРіРµР№РјР°,Р”Р›РђРћ
990,Р‘РёС†С†РѕС†РµСЂРѕ Р±Р»СЏС€РєР°,Р‘Р‘
995,Р‘РѕС…РѕРЅР° РѕРїРµСЂР°С†РёСЏ,Р‘Рћ
997,РґСЂРµРЅР°Р¶ РІРµРЅС‚СЂРёРєСѓР»СЏСЂРЅС‹Р№,Р”Р’
999,РёРјРјСѓРЅРѕРіР»РѕР±СѓР»РёРЅС‹ РЅР°РїСЂР°РІР»РµРЅРЅРѕРіРѕ РґРµР№СЃС‚РІРёСЏ,РРќР”
1000,СЂР°СЃСЃС‚СЂРѕР№СЃС‚РІР° В«СЏВ»,Р В«
1002,Р¶РµР»С‚СѓС…Р° РєРѕРЅСЉСЋРіР°С†РёРѕРЅРЅР°СЏ,Р–Рљ
1003,abscessus multiplex inpantum,AMI
1007,Р±СѓРіРѕСЂРѕРє СЃРµРґР»Р°,Р‘РЎ
1011,Mammarii laterales,ML
1012,Р·РѕРЅР° РёР·Р±С‹С‚РєР° Р°РЅС‚РёРіРµРЅР°,Р—РРђ
1013,Р”РµРґРµСЂР»РµР№РЅР° РїР»Р°СЃС‚РёРєР° В«СѓР»РёС‚РєРѕР№В»,Р”РџВ«
1014,РўСЊСЋРґРѕСЂР°-Р­РґРІР°СЂРґСЃР° СЂР°РЅРѕСЂР°СЃС€РёСЂРёС‚РµР»СЊ,РўР­Р 
1020,СЃР°РЅРёС‚Р°СЂРЅР°СЏ РѕР±СЂР°Р±РѕС‚РєР°1,РЎРћ
1022,РЈСЂР±Р°С…Р°-РћРїРїРµРЅРіРµР№РјР° РґРёСЃР»РёРїРѕРёРґРѕР· РєРѕР¶Рё,РЈРћР”Рљ
1023,РїСЂРёСЃСЏРіР° РІСЂР°С‡Р° РЎРѕРІРµС‚СЃРєРѕРіРѕ РЎРѕСЋР·Р°,РџР’РЎРЎ
1024,Р“СЂРµС…РµРјР° РјРµС‚РѕРґ,Р“Рњ
1026,С‚РёС„ РґР¶СѓРЅРіР»РµР№,РўР”
1029,"Tarseus inferior arcus,",TIA
1031,Р·Р°С‚С‹Р»РѕС‡РЅРѕ-РјРѕСЃС‚РѕРІРѕР№ РїСѓС‚СЊ,Р—РњРџ
1032,Meningicus (n. maxillaris),M(M
1033,РѕР±РµР·Р¶РµР»РµР·РёРІР°РЅРёРµ РІРѕРґС‹,РћР’
1035,РЎР°С‚С‚РѕРЅР° Р°РЅРіРёРѕРјР°,РЎРђ
1036,Bithynium leachii,BL
1040,РІРµРіРµС‚Р°С‚РёРІРЅР°СЏ Р±СѓСЂСЏ,Р’Р‘
1041,СЃРёРЅРѕРІРёР°Р»СЊРЅРѕРµ СЃРѕРµРґРёРЅРµРЅРёРµ,РЎРЎ
1043,РїРѕС‡РєР° Р°РїР»Р°СЃС‚РёС‡РµСЃРєР°СЏ,РџРђ
1044,Cardiaci inferiores (n. recurrentis),CI(R
1046,РїРѕС‡РєР° РјСѓР»СЊС‚РёРєРёСЃС‚РѕР·РЅР°СЏ,РџРњ
1050,РѕСЃС‚РµРѕРјР° РїР°СЂРѕСЃС‚Р°Р»СЊРЅР°СЏ,РћРџ
1052,СЃРёРЅРґСЂРѕРј РїРµСЂРµРґРЅРµР№ РјРѕР·РіРѕРІРѕР№ Р°СЂС‚РµСЂРёРё,РЎРџРњРђ
1053,РїСЂРѕРіРЅРѕР· СЃРѕС†РёР°Р»СЊРЅРѕ-РїСЃРёС…РёР°С‚СЂРёС‡РµСЃРєРёР№,РџРЎРџ
1054,Ptericum os,PO
1055,СЃРµР±РѕСЂРµСЏ РїСЃРѕСЂРёР°Р·РёС„РѕСЂРјРЅР°СЏ,РЎРџ
1056,РёРґРµРё СЃРІРµСЂС…С†РµРЅРЅС‹Рµ,РРЎ
1061,СЂРµР·РёСЃС‚РµРЅС‚РЅРѕСЃС‚СЊ РєР°РїРёР»Р»СЏСЂРѕРІ,Р Рљ
1064,Р»РёС€Р°Р№ С‡РµСЂРµРїРёС†РµРѕР±СЂР°Р·РЅС‹Р№,Р›Р§
1066,Cruciata digitorum pedis,CDP
1068,Р–РѕР»Р»Рё С‚РµР»СЊС†Р°,Р–Рў
1069,РѕСЃРЅРѕРІР°РЅРёРµ С‡РµСЂРµРїР° РІРЅСѓС‚СЂРµРЅРЅРµРµ,РћР§Р’
1070,РњР°С…СЃРѕРЅР° РѕРїРµСЂР°С†РёСЏ,РњРћ
1071,РїРµС‚СѓС€РёРЅР°СЏ РµРґРёРЅРёС†Р°,РџР•
1075,РјРµР»Р°РЅРѕР· РѕС‡Р°РіРѕРІС‹Р№,РњРћ
1076,С„СЂР°РЅРєС„СѓСЂС‚СЃРєР°СЏ РіРѕСЂРёР·РѕРЅС‚Р°Р»СЊ,Р¤Р“
1077,Р°СЌСЂРѕР·РѕР»СЊРЅР°СЏ С€Р°С€РєР°,РђРЁ
1078,meralgia paraesthetica,MP
1080,С„РёР±СЂРѕРјР° С‚РµРєР°РєР»РµС‚РѕС‡РЅР°СЏ РєСЃР°РЅС‚РѕРјР°С‚РѕР·РЅР°СЏ,Р¤РўРљ
1081,Р»СѓРєРѕРІРёС†Р° РїСЂРµРґРґРІРµСЂРёСЏ,Р›Рџ
1084,РіРёРїРѕС„РёР·Р°СЂРЅС‹Р№ РєР°СЂРјР°РЅ,Р“Рљ
1091,РљР»РёРјРѕРІР° С„РёРєСЃР°С‚РѕСЂ,РљР¤
1094,СЌСЏРєСѓР»СЏС†РёСЏ Р·Р°РґРµСЂР¶Р°РЅРЅР°СЏ,Р­Р—
1097,"Fibrosum anticum,",FA
1098,Р­СЂР»РёС…Р° СЂРµС†РµРїС‚РѕСЂС‹,Р­Р 
1099,С…РёРјРёРѕРїСЂРѕС„РёР»Р°РєС‚РёРєР° РјР°Р»СЏСЂРёРё РїР°Р»Р»РёР°С‚РёРІРЅР°СЏ,РҐРњРџ
1104,РїР°СЂР°Р»РёС‚РёС‡РµСЃРєР°СЏ С‚СЂРёР°РґР°,РџРў
1105,Р°РЅР°СЌСЂРѕР±РЅР°СЏ РїР°Р»Р°С‚Р°,РђРџ
1106,Р°РїРїР»РёРєР°С‚РѕСЂ СЂР°РґРёРѕС‚РµСЂР°РїРµРІС‚РёС‡РµСЃРєРёР№,РђР 
1108,С„РёРіСѓСЂР° РѕРјРµРіРё,Р¤Рћ
1109,РЁР°РЅС†Р° РѕРїРµСЂР°С†РёСЏ,РЁРћ
1111,СЂРµС‚СЂРѕС„Р»РµРєСЃРёСЏ РјР°С‚РєРё,Р Рњ
1112,РѕС‚РІРµСЂСЃС‚РёСЏ Р»РµРіРѕС‡РЅС‹С… РІРµРЅ,РћР›Р’
1113,Р”СЋСЂРєР° РіСЂР°РЅСѓР»РµРјР°,Р”Р“
1114,СЃРµРєСЂРµС‚РѕСЂРЅС‹Р№ СЃС‚Р°С‚СѓСЃ,РЎРЎ
1116,РєСѓ-Р»РёС…РѕСЂР°РґРєР°,РљР›
1117,РјР°Р»СЊРїРёРіРёРµРІ РїРѕС‡РµС‡РЅС‹Р№ РєР»СѓР±РѕС‡РµРє,РњРџРљ
1121,РќРѕСЂСЂРё Р±РѕР»РµР·РЅСЊ,РќР‘
1122,РїРѕСЃС‚С†РµРЅС‚СЂР°Р»СЊРЅР°СЏ РѕР±Р»Р°СЃС‚СЊ,РџРћ
1123,РњРёС…Р°Р№Р»РѕРІР° СЂРµР°РєС†РёСЏ,РњР 
1127,РіРёРїРµСЂР±РёР»РёСЂСѓР±РёРЅРµРјРёСЏ РёРґРёРѕРїР°С‚РёС‡РµСЃРєР°СЏ РЅРµРєРѕРЅСЉСЋРіРёСЂРѕРІР°РЅРЅР°СЏ,Р“РРќ
1128,РїР°СЂРѕС‚РёС‚ СЌРїРёРґРµРјРёС‡РµСЃРєРёР№,РџР­
1133,СЃРµРјРµРЅРЅРѕР№ Р±СѓРіРѕСЂРѕРє,РЎР‘
1134,Tensoris veli palatini,TVP
1135,B. subcutanea prominentiae laryngeae,BSPL
1139,Р“РѕС„РјР°РЅРЅР° РїР°Р»РѕС‡РєР°,Р“Рџ
1140,Clostridium botulinum,CB
1141,Р°РєС‚РёРІРЅРѕСЃС‚СЊ Р±РёРѕСЌР»РµРєС‚СЂРёС‡РµСЃРєР°СЏ,РђР‘
1142,РјР°РЅРµРІСЂРµРЅРЅР°СЏ СЃР°РЅРёС‚Р°СЂРЅРѕ-СЌРїРёРґРµРјРёРѕР»РѕРіРёС‡РµСЃРєР°СЏ РіСЂСѓРїРїР°,РњРЎР­Р“
1144,Р§Р°СЂР»С‚РѕРЅР° С„РµРЅРѕРјРµРЅ,Р§Р¤
1145,"Maxillare laterale,",ML
1147,Р»РёС…РѕСЂР°РґРєР° РіРµРјРѕРіР»РѕР±РёРЅСѓСЂРёР№РЅР°СЏ,Р›Р“
1150,РѕС‚РµРє РїСЂРµСЂРµС‚РёРЅР°Р»СЊРЅС‹Р№,РћРџ
1154,РјРµР¶СѓС‚РѕС‡РЅРѕРµ РІРµС‰РµСЃС‚РІРѕ,РњР’
1158,РѕСЃРЅРѕРІР°РЅРёРµ Р°РєСЃРѕРЅР°,РћРђ
1159,Р’РµСЂРЅРёРєРµ С‚СЂР°РЅСЃРєРѕСЂС‚РёРєР°Р»СЊРЅР°СЏ СЃРµРЅСЃРѕСЂРЅР°СЏ Р°С„Р°Р·РёСЏ,Р’РўРЎРђ
1160,СЃСЂРµРґРёРЅРЅР°СЏ Р±РѕСЂРѕР·РґР°,РЎР‘
1163,РІРѕСЃРїРѕРјРёРЅР°РЅРёСЏ РёР»Р»СЋР·РѕСЂРЅС‹Рµ,Р’Р
1164,СЏР№С†РµРІС‹Рµ С‚СЂСѓР±РєРё,РЇРў
1165,Sympathica ganglii submaxillaris,SGS
1169,РіРµРјР°РЅРіРёРѕРјР° РїРѕР»Р·СѓС‡Р°СЏ,Р“Рџ
1172,СЂРµС‡РµРІР°СЏ Р±РµСЃСЃРІСЏР·РЅРѕСЃС‚СЊ,Р Р‘
1173,РґРµРјР°СЂРєР°С†РёРѕРЅРЅРѕРµ РєРѕР»СЊС†Рѕ,Р”Рљ
1174,РџРµР»РёРєР°РЅР° РѕРїРµСЂР°С†РёСЏ,РџРћ
1176,РїРµРЅС‚РѕР·РѕРЅСѓРєР»РµРёРЅРѕРІР°СЏ РєРёСЃР»РѕС‚Р°,РџРљ
1179,"Alare major,",AM
1183,РџРёРµСЂРё РѕРїРµСЂР°С†РёСЏ,РџРћ
1187,РЅРѕРіС‚РµРІР°СЏ Р»СѓРЅРѕС‡РєР°,РќР›
1188,СЃСѓРґРµР±РЅРѕ-РјРµРґРёС†РёРЅСЃРєРёР№ СЌРєСЃРїРµСЂС‚,РЎРњР­
1190,РїСѓСЂРїСѓСЂР° РїРѕСЃС‚РёРЅС„РµРєС†РёРѕРЅРЅР°СЏ РєРѕРєР°СЂРґРѕРѕР±СЂР°Р·РЅР°СЏ,РџРџРљ
1191,РґРµР»СЊС‚Р°-РєР»РµС‚РєР°,Р”Рљ
1194,СЃРёР»СЊРІРёРµРІР° СЏРјРєР°,РЎРЇ
1195,СЏСЃР»Рё-СЃР°Рґ,РЇРЎ
1196,Р”СЋРїСЋРёС‚СЂРµРЅР° РїРµСЂРµР»РѕРј,Р”Рџ
1197,Р‘Р°СЂСЂСЊРµСЂР° СЃРёРЅРґСЂРѕРј,Р‘РЎ
1198,РіР°РЅРіР»РёРѕР·РЅР°СЏ РїР»Р°СЃС‚РёРЅРєР°,Р“Рџ
1199,РєРёСЃС‚Р° СЏРёС‡РЅРёРєР° РІРµРіРµС‚РёСЂСѓСЋС‰Р°СЏ,РљРЇР’
1201,Р’РёРґСЂРѕРІРёС‚С†Р° СЃРёРјРїС‚РѕРј,Р’РЎ
1207,СЃРёРјРїС‚РѕРј РІСЃС‚Р°РІР°РЅРёСЏ,РЎР’
1208,"Pubicum Cooperi,",PC
1210,"Glutaeus profundus,",GP
1214,Р›Рё Р±РѕР»РµР·РЅСЊ,Р›Р‘
1216,РњРёР»СЂРѕСЏ Р±РѕР»РµР·РЅСЊ,РњР‘
1218,СЃРёСЃС‚РµРјР° С„СѓРЅРєС†РёРѕРЅР°Р»СЊРЅР°СЏ,РЎР¤
1219,СЌРѕР·РёРЅРѕС„РёР»РёСЏ С‚СЂРѕРїРёС‡РµСЃРєР°СЏ,Р­Рў
1220,Р’РµСЂРЅРёРєРµ Р°СѓС‚РѕРїСЃРёС…РѕР·,Р’Рђ
1222,Р’РёРєРєРµСЂСЃРіРµР№РјРµСЂР° Р¶РёРґРєРѕСЃС‚СЊ,Р’Р–
1223,РіРёРїРµСЂР±РёР»РёСЂСѓР±РёРЅРµРјРёСЏ РЅРѕРІРѕСЂРѕР¶РґРµРЅРЅС‹С… С‚СЂР°РЅР·РёС‚РѕСЂРЅР°СЏ СЃРµРјРµР№РЅР°СЏ,Р“РќРўРЎ
1224,Aorticus thoracicus,AT
1225,Suprarenalis inferior,SI
1227,РїРѕР»РёР°СЂС‚РµСЂРёРёС‚ РЅРѕРґРѕР·РЅС‹Р№,РџРќ
1228,РїСЂРѕС‚РёРІРѕСЃРёС„РёР»РёС‚РёС‡РµСЃРєРёРµ СЃСЂРµРґСЃС‚РІР°,РџРЎ
1231,Р°С‚СЂРµР·РёСЏ С„РѕР»Р»РёРєСѓР»РѕРІ,РђР¤
1232,Р¤РѕР»СЊРєРјР°РЅРЅР° РѕРїРµСЂР°С†РёСЏ,Р¤Рћ
1233,СЃСЂРѕРє СЌРєСЃРїР»СѓР°С‚Р°С†РёРё РјРµРґРёС†РёРЅСЃРєРѕРіРѕ РёРјСѓС‰РµСЃС‚РІР°,РЎР­РњР
1234,РґРµСЃРєРІР°РјР°С†РёСЏ РЅРѕРІРѕСЂРѕР¶РґРµРЅРЅС‹С… Р»Р°РјРµР»Р»РµР·РЅР°СЏ,Р”РќР›
1236,Transversus ramus,TR
1238,РЎРµРґРµСЂР±РµСЂРіР° СЃРёРјРїС‚РѕРј,РЎРЎ
1239,Р»РёРїРѕРёРґРѕР· РґРёСЃС‚РѕРїРёС‡РµСЃРєРёР№ РЅР°СЃР»РµРґСЃС‚РІРµРЅРЅС‹Р№,Р›Р”Рќ
1242,РџР°РЅРЅРµС‚Р° СЂРµС€РµС‚РєР°,РџР 
1243,РіР»РѕС‚РѕС‡РЅС‹Р№ РєР°СЂРјР°РЅ,Р“Рљ
1247,Bb. intermusculares mm. gluteorum,BIMG
1249,b-С†РёС‚РѕРјРµРјР±СЂР°РЅР°,BР¦
1250,Р»РёС…РѕСЂР°РґРєР° Р§РёРєСѓРЅРіСѓРЅСЊСЏ,Р›Р§
1251,Р”РѕРЅРґРµСЂСЃР° РјРµС‚РѕРґ,Р”Рњ
1252,Transversum acetabuli,TA
1253,СЏРґСЂРѕ Р‘РµРєР»Р°СЂР°,РЇР‘
1254,Р”РµР»СЊРјР° СЃРїРѕСЃРѕР±,Р”РЎ
1255,Р¤СѓСЂРЅСЊРµ СЃРёРјРїС‚РѕРј,Р¤РЎ
1257,РіР°СЃСЃРµСЂРѕРІ РіР°РЅРіР»РёР№,Р“Р“
1259,РЁСЋСЃСЃР»РµСЂР° СЃСѓС…РѕР¶РёР»СЊРЅС‹Р№ С€РѕРІ,РЁРЎРЁ
1260,С‰РёС‚РѕРІРёРґРЅРѕРµ СЃРїР»РµС‚РµРЅРёРµ РЅРµРїР°СЂРЅРѕРµ,Р©РЎРќ
1263,Р РѕР±РµРЅР° СЃРёРЅРґСЂРѕРј,Р РЎ
1266,СЃР°РЅРёС‚Р°СЂРЅС‹Р№ РґРµРЅСЊ,РЎР”
1267,Р±РѕР»РµР·РЅРё С‚СЂР°РЅСЃРјРёСЃСЃРёРІРЅС‹Рµ,Р‘Рў
1268,Sacroilica interossea,SI
1270,РїСЂРѕС‚РёРІРѕС‚СЂРёС…РѕРјРѕРЅР°РґРЅС‹Рµ СЃСЂРµРґСЃС‚РІР°,РџРЎ
1272,Р»РѕР±РєРѕРІРѕРµ РѕРІРѕР»РѕСЃРµРЅРёРµ,Р›Рћ
1273,РєРёС€РµС‡РЅРѕРµ РѕСЂРѕС€РµРЅРёРµ РїРѕРґРІРѕРґРЅРѕРµ,РљРћРџ
1275,"Elevator humeri,",EH
1278,РЎРёРјРјРѕРЅРґСЃР° Р±РѕР»РµР·РЅСЊ,РЎР‘
1279,СЃР»РµРїРѕС‚Р° СЂРµС„Р»РµРєС‚РѕСЂРЅР°СЏ,РЎР 
1280,Р°С‚СЂРѕС„РёСЏ РєРѕР¶Рё РїСЏС‚РЅРёСЃС‚Р°СЏ,РђРљРџ
1283,РєСЂРѕРІРё РіР»СЋРєРѕС‚РµСЃС‚,РљР“
1286,РёСЃС‚РёСЂР°РµРјРѕСЃС‚СЊ С‚Р°Р±Р»РµС‚РѕРє,РРў
1287,РќРµРіРµР»Рµ С„РѕСЂРјСѓР»Р°,РќР¤
1289,Р°Р»СЊС†РіРµР№РјРµСЂРѕРІСЃРєРёР№ СЃРёРЅРґСЂРѕРј,РђРЎ
1290,Р“РµР№РіРµР»СЏ СЂРµС„Р»РµРєСЃ,Р“Р 
1291,РљСѓРЅРєРµР»СЏ РїСЂРѕР±Р°,РљРџ
1292,Р›РёСЃСЃР°СѓСЌСЂР° Р°РїРїРµСЂС†РµРїС‚РёРІРЅР°СЏ Р°РіРЅРѕР·РёСЏ,Р›РђРђ
1293,Aponcurosis omoclavicularis,AO
1294,РїРѕСЂР°Р¶РµРЅРёРµ РєРѕР¶Рё РїР°СЂР°С‚СЂР°РІРјР°С‚РёС‡РµСЃРєРѕРµ,РџРљРџ
1295,СЃРёРЅРґСЂРѕРј РєСЂС‹Р»РѕРЅРµР±РЅРѕРіРѕ СѓР·Р»Р°,РЎРљРЈ
1298,Metacarpi ossa,MO
1300,"Intermaxillare os,",IO
1301,РјРёРєСЂРѕС„РѕРЅРЅС‹Р№ СЌС„С„РµРєС‚ СѓР»РёС‚РєРё,РњР­РЈ
1303,РїРѕРґРІР·РґРѕС€РЅРѕ-РіСЂРµР±РµС€РєРѕРІР°СЏ СЏРјРєР°,РџР“РЇ
1304,РЈС€РёРЅСЃРєРѕРіРѕ СЃСЂРµРґР°,РЈРЎ
1305,СЃРёРјРїС‚РѕРј СЃРјС‹РєР°РЅРёСЏ РІРµРє,РЎРЎР’
1306,РєРѕР№РєР°-РЅРѕСЃРёР»РєРё,РљРќ
1311,Р°РїРїР°СЂР°С‚ РђСЂРёСЃС‚РѕРІСЃРєРѕРіРѕ,РђРђ
1313,Р Р°РїР°РЅС‚Р° РѕРїРµСЂР°С†РёСЏ,Р Рћ
1314,РҐРѕР»СЊС†РѕРІР° РѕРїРµСЂР°С†РёСЏ,РҐРћ
1316,РЎР°Р±СѓСЂРѕ РїРµРїС‚РѕРЅРЅС‹Р№ Р°РіР°СЂ,РЎРџРђ
1318,Р‘РµСЂС‚РµР»Р»Рё РјРµРјР±СЂР°РЅР°,Р‘Рњ
1319,Р»РёРїРѕРіСЂР°РЅСѓР»РµРјР° РёРЅСЉРµРєС†РёРѕРЅРЅР°СЏ,Р›Р
1322,Р Р°РґРѕРІРёС‡Р° СЂРµС„Р»РµРєСЃ,Р Р 
1324,Р¶РµР»СѓРґРѕРє РіРёРїРµСЂРјРѕС‚РёР»СЊРЅС‹Р№,Р–Р“
1326,Membrana perinei,MP
1328,Р­РґРµСЂР° РјРµС‚РіРµРјРѕРіР»РѕР±РёРЅРµРјРёСЏ,Р­Рњ
1329,Р”РѕР»РёРЅРѕРІР° СЃРёРјРїС‚РѕРј,Р”РЎ
1330,Vastus lateralis,VL
1331,Sternoclaviculare posterius,SP
1340,РїСЃРёС…РѕР· РјР°РЅРёР°РєР°Р»СЊРЅРѕ-РјРµР»Р°РЅС…РѕР»РёС‡РµСЃРєРёР№,РџРњРњ
1341,РїР»Р°СЃС‚РёРЅРєРё РѕСЃС‚РµРѕРЅР°,РџРћ
1342,РЅРµРїРµСЂРµРЅРѕСЃРёРјРѕСЃС‚СЊ С„СЂСѓРєС‚РѕР·С‹,РќР¤
1343,С„Р»Р°РІРёРЅР°РґРµРЅРёРЅРґРёРЅСѓРєР»РµРѕС‚РёРґ (Р¤РђР”),Р¤(
1345,17-РєРµС‚РѕСЃС‚РµСЂРѕРёРґС‹,1Рљ
1346,Acetabuli os,AO
1351,Р°РґР°РїС‚РёРІРЅС‹Р№ СЂСЏРґ,РђР 
1353,РїСЂРµРґРґРІРµСЂРёРµ РіРѕСЂС‚Р°РЅРё,РџР“
1355,СЃРёРЅРґСЂРѕРј РїР°СЂР°РЅРѕР№СЏР»СЊРЅС‹Р№,РЎРџ
1358,РљРѕС…РµСЂР° РѕРїРµСЂР°С†РёСЏ,РљРћ
1360,"Cava superior sinistra,",CSS
1366,"volares propriae (BNA,",VP(
1369,РЁРѕС„С„Р°СЂР°-Р›РµСЂРёС€Р° С„РѕСЂРјР° СЂР°РєР°,РЁР›Р¤Р 
1370,РџСЂРµРѕР±СЂР°Р¶РµРЅСЃРєРѕРіРѕ С‚РѕРЅР·РёР»Р»СЌРєС‚РѕРјРёСЏ,РџРў
1371,РјР°С‚РєР° Р°С‚СЂРѕС„РёС‡РµСЃРєР°СЏ,РњРђ
1372,Chorda uteroinguinalis,CU
1373,РјРµРєРєРµР»РµРІ РґРёРІРµСЂС‚РёРєСѓР»,РњР”
1374,Talocalcaneum mediale,TM
1375,Р±РµР»РѕРІР°С‚РѕРµ С‚РµР»Рѕ,Р‘Рў
1380,РјРµР¶РјС‹С€РµС‡РЅРѕРµ СЃРїР»РµС‚РµРЅРёРµ,РњРЎ
1381,РЁСѓРіР°СЂР° РїРёРіРјРµРЅС‚РЅР°СЏ РіР»Р°СѓРєРѕРјР°,РЁРџР“
1382,РґРµРїСЂРµСЃСЃРёСЏ РєРѕРЅСЃС‚РёС‚СѓС†РёРѕРЅР°Р»СЊРЅР°СЏ,Р”Рљ
1384,РјРµРґРёС†РёРЅСЃРєР°СЏ РєР°СЂС‚РѕРіСЂР°С„РёСЏ,РњРљ
1385,СЌСЂРёС‚РµРјР° С‚РµР»РµР°РЅРіРёСЌРєС‚Р°С‚РёС‡РµСЃРєР°СЏ РІСЂРѕР¶РґРµРЅРЅР°СЏ СЃС‚РѕР№РєР°СЏ,Р­РўР’РЎ
1391,РіРѕР»РѕРІРєР° С‚Р°СЂР°РЅРЅРѕР№ РєРѕСЃС‚Рё,Р“РўРљ
1392,СЃРёРЅРґСЂРѕРј РіРёРїРѕС‚РѕРЅРёС‡РµСЃРєРё-РіРёРїРµСЂРєРёРЅРµС‚РёС‡РµСЃРєРёР№,РЎР“Р“
1394,Р‘Р°СЂСЂРµ РґРёСЃРіР°СЂРјРѕРЅРёС‡РµСЃРєРёР№ СЃРёРЅРґСЂРѕРј,Р‘Р”РЎ
1395,РІРЅСѓС‚СЂРµРЅРЅРѕСЃС‚РЅС‹Рµ РІРµС‚РІРё,Р’Р’
1396,РЇС„С„Рµ-Р›РёС…С‚РµРЅСЃС‚Р°Р№РЅР° РґРёСЃРїР»Р°Р·РёСЏ,РЇР›Р”
1397,Р°РґРµРЅРѕРјР° С„РµС‚Р°Р»СЊРЅР°СЏ,РђР¤
1401,Rectus superior,RS
1403,РјС‹С€РµС‡РЅР°СЏ Р»Р°РєСѓРЅР°,РњР›
1404,СЃРїР°Р·Рј РїРёСЃС‡РёР№,РЎРџ
1405,РѕСЃС‚РµРѕРїРѕСЂРѕР· С„РµС‚Р°Р»СЊРЅС‹Р№,РћР¤
1406,Basalis lateralis ramus,BLR
1407,РљР°СЂС‚Р°РіРµРЅРµСЂР° СЃРёРЅРґСЂРѕРј,РљРЎ
1409,РђСЃС‚СЂРёРЅСЃРєРѕРіРѕ РїСЂРёРµРј,РђРџ
1410,Р°СѓСЌСЂР±Р°С…РѕРІСЃРєРѕРµ СЃРїР»РµС‚РµРЅРёРµ,РђРЎ
1412,СЌСЃС‚СЂРѕРіРµРЅРЅС‹Рµ СЃСЂРµРґСЃС‚РІР°,Р­РЎ
1414,Communicans cumn. glossopbaryngico,CCG
1416,РїСЂРµР¶РґРµРІСЂРµРјРµРЅРЅРѕРµ РѕС‚С…РѕР¶РґРµРЅРёРµ РІРѕРґ,РџРћР’
1417,СЃР°Р»СЊРЅРёРєРѕРІРѕРµ СѓРіР»СѓР±Р»РµРЅРёРµ РЅРёР¶РЅРµРµ,РЎРЈРќ
1419,СЃР°РЅРёС‚Р°СЂРЅРѕРµ СЃРѕСЃС‚РѕСЏРЅРёРµ РЅР°СЃРµР»РµРЅРёСЏ,РЎРЎРќ
1421,СЌСЂРёС‚РµРјР° РІРѕР·РІС‹С€РµРЅРЅР°СЏ СЃС‚РѕР№РєР°СЏ,Р­Р’РЎ
1423,РіРЅРѕР№РЅРёРє Р»РѕР¶РЅС‹Р№,Р“Р›
1424,РљСЂРµСЃС‚РѕРІСЃРєРѕРіРѕ РѕРїРµСЂР°С†РёСЏ,РљРћ
1425,Strongyloldes stercoralis,SS
1426,СЌРєР·РѕС‚РѕРєСЃРёРЅ С…РѕР»РµСЂРЅС‹Р№,Р­РҐ
1427,РёРЅС‚РѕРєСЃРёРєР°С†РёСЏ РїРёС‰РµРІР°СЏ,РРџ
1428,Р°РЅС‚СЂРѕРїРѕСѓСЂРіРёС‡РµСЃРєРёРµ С„Р°РєС‚РѕСЂС‹ СЃСЂРµРґС‹,РђР¤РЎ
1429,РІРёСЃРѕС‡РЅРѕ-РјРѕСЃС‚РѕРІРѕР№ РїСѓС‚СЊ,Р’РњРџ
1431,РєРѕРµС‡РЅР°СЏ РјРѕС‰РЅРѕСЃС‚СЊ,РљРњ
1433,Caroticotympanici rami,CR
1434,Р‘РµС…С‚РµСЂРµРІР° РєРѕСЃС‚РѕР°Р±РґРѕРјРёРЅР°Р»СЊРЅС‹Р№ СЂРµС„Р»РµРєСЃ,Р‘РљР 
1435,РІР°РєСѓСѓРј-РЅР°СЃРѕСЃ,Р’Рќ
1438,СЃРёРЅРґСЂРѕРј РІРЅРµС‡РµСЂРµРїРЅРѕР№ Р·Р°РєСѓРїРѕСЂРєРё РІРЅСѓС‚СЂРµРЅРЅРµР№ СЃРѕРЅРЅРѕР№ Р°СЂС‚РµСЂРёРё,РЎР’Р—Р’РЎРђ
1440,Carotis externa,CE
1445,Р°РІС‚РѕРјР°С‚РёР·Р°С†РёСЏ РїСЂРѕРёР·РІРѕРґСЃС‚РІР°,РђРџ
1448,РєСѓР»СЊС‚СѓСЂР° С‡РёСЃС‚Р°СЏ,РљР§
1450,РІРµРіРµС‚Р°С‚РёРІРЅР°СЏ СЃС‚РёРіРјР°С‚РёР·Р°С†РёСЏ,Р’РЎ
1455,РЅРѕСЃРѕРІС‹Рµ РІРµС‚РІРё РїРµСЂРµРґРЅРёРµ Р»Р°С‚РµСЂР°Р»СЊРЅС‹Рµ,РќР’РџР›
1456,РґРІСѓСѓСЃС‚РєР° Р»Р°РЅС†РµС‚РѕРІРёРґРЅР°СЏ,Р”Р›
1457,СЌРЅРґРѕС„С‚Р°Р»СЊРјРёС‚ РјРµС‚Р°СЃС‚Р°С‚РёС‡РµСЃРєРёР№,Р­Рњ
